"COUNTRYCODE","LANGUAGE","COUNTRYTEXT"
US,EN,United States of America
DE,EN,Germany
GB,EN,Great Britain
AU,EN,Australia
IN,EN,India
DU,EN,Dubai
CA,EN,Canada
FR,EN,France
AS,EN,Austria
BG,EN,Belgium
CZ,EN,Czech Republic
DK,EN,Denmark
FI,EN,Finland
GL,EN,Greenland
HU,EN,Hungary
IT,EN,Italy
NL,EN,Netherlands
SG,EN,Singapore
ML,EN,Malaysia
TH,EN,Thailand
ID,EN,Indonesia
US,FR,États-Unis d'Amérique
DE,FR,Allemagne
GB,FR,Grande-Bretagne
AU,FR,Australie
IN,FR,Inde
DU,FR,Dubaï
CA,FR,Canada
FR,FR,France
AS,FR,Autriche
BG,FR,Belgique
CZ,FR,République tchèque
DK,FR,Danemark
FI,FR,Finlande
GL,FR,Groenland
HU,FR,Hongrie
IT,FR,Italie
NL,FR,Pays-Bas
SG,FR,Singapour
ML,FR,Malaisie
TH,FR,Thaïlande
ID,FR,Indonésie
